-245.61 -242.50 -239.40 -236.31 -233.23 -230.16 -227.10 -224.06 -221.02 -217.98 -214.96 -211.94 -208.93 -205.92 -202.92 -199.92 -196.92 -193.93 -190.94 -187.94 -184.95 -181.96 -178.96 -175.96 -172.96 -169.94 -166.92 -163.88 -160.82 -157.74 -154.65 -151.54 -148.41 -145.26 -142.09 -138.90 -135.69 -132.46 -129.22 -126.00 -122.79 -119.61 -116.45 -113.31 -110.20 -107.10 -104.02 -100.94 -97.88 -94.83 -91.79 -88.74 -85.70 -82.66 -79.62 -76.57 -73.51 -70.44 -67.36 -64.27 -61.16 -58.03 -54.88 -51.71 -48.51 -45.28 -42.03 -38.74 -35.42 -32.06 -28.67 -25.24 -21.77 -18.27 -14.72 -11.15 -7.55 -3.93 -0.33 3.22 6.64 9.90 13.11 16.15 18.99 21.65 24.12 26.41 28.50 30.42 32.29 33.99 35.54 37.03 38.49 39.96 41.45 42.96 44.50 46.07 47.68 49.33 51.01 52.72 54.47 56.25 58.06 59.90 61.78 63.68 65.61 67.57 69.55 71.55 73.58 75.63 77.70 79.79 81.89 84.01 86.15 88.30 90.46 92.63 94.80 96.98 99.17 101.35 103.52 105.67 107.80 109.88 111.88 113.78 115.67 117.49 119.24 120.93 122.54 124.09 125.57 126.99 128.38 129.71 130.99 132.25 133.51 134.78 136.05 137.34 138.64 139.96 141.29 142.64 144.00 145.38 146.77 148.17 149.59 151.02
-242.88 -239.77 -236.67 -233.58 -230.50 -227.43 -224.37 -221.32 -218.27 -215.23 -212.20 -209.18 -206.16 -203.14 -200.13 -197.12 -194.12 -191.11 -188.11 -185.11 -182.10 -179.09 -176.08 -173.06 -170.04 -167.00 -163.95 -160.88 -157.80 -154.72 -151.63 -148.53 -145.40 -142.27 -139.12 -135.96 -132.78 -129.59 -126.38 -123.18 -119.98 -116.79 -113.63 -110.48 -107.36 -104.25 -101.15 -98.07 -95.00 -91.94 -88.88 -85.83 -82.78 -79.72 -76.67 -73.61 -70.55 -67.47 -64.38 -61.29 -58.17 -55.04 -51.89 -48.72 -45.52 -42.30 -39.06 -35.78 -32.48 -29.15 -25.78 -22.39 -18.96 -15.52 -12.05 -8.56 -5.08 -1.63 1.76 5.03 8.23 11.43 14.52 17.45 20.23 22.86 25.34 27.68 29.87 31.91 33.82 35.74 37.58 39.30 40.93 42.53 44.12 45.71 47.32 48.94 50.60 52.28 53.99 55.73 57.49 59.29 61.11 62.97 64.85 66.75 68.69 70.64 72.62 74.62 76.65 78.69 80.75 82.82 84.91 87.02 89.14 91.27 93.40 95.54 97.69 99.83 101.97 104.10 106.21 108.28 110.31 112.26 114.17 116.08 117.95 119.76 121.52 123.22 124.87 126.47 128.01 129.49 130.93 132.37 133.79 135.15 136.49 137.82 139.15 140.49 141.84 143.19 144.56 145.94 147.33 148.74 150.15 151.58 153.02 154.47
-240.10 -237.00 -233.90 -230.81 -227.73 -224.66 -221.59 -218.54 -215.49 -212.45 -209.41 -206.38 -203.35 -200.33 -197.31 -194.30 -191.28 -188.27 -185.25 -182.24 -179.22 -176.19 -173.16 -170.13 -167.08 -164.02 -160.95 -157.88 -154.80 -151.72 -148.64 -145.54 -142.43 -139.31 -136.18 -133.04 -129.89 -126.73 -123.56 -120.39 -117.21 -114.04 -110.88 -107.73 -104.59 -101.48 -98.38 -95.29 -92.21 -89.14 -86.07 -83.01 -79.95 -76.89 -73.83 -70.77 -67.70 -64.62 -61.53 -58.43 -55.32 -52.19 -49.05 -45.88 -42.70 -39.49 -36.27 -33.01 -29.74 -26.44 -23.12 -19.78 -16.42 -13.05 -9.68 -6.32 -3.00 0.24 3.43 6.60 9.78 12.90 15.88 18.74 21.47 24.08 26.57 28.95 31.20 33.32 35.31 37.24 39.17 41.09 42.95 44.71 46.44 48.14 49.83 51.53 53.25 54.98 56.73 58.50 60.29 62.11 63.96 65.83 67.72 69.63 71.57 73.53 75.51 77.51 79.53 81.56 83.61 85.68 87.76 89.84 91.94 94.05 96.16 98.27 100.38 102.47 104.56 106.62 108.65 110.63 112.56 114.50 116.43 118.34 120.20 122.01 123.78 125.51 127.19 128.82 130.41 131.96 133.45 134.92 136.40 137.86 139.31 140.72 142.13 143.52 144.92 146.32 147.73 149.15 150.57 152.01 153.46 154.91 156.38 157.85
-237.24 -234.13 -231.05 -227.96 -224.88 -221.81 -218.74 -215.69 -212.65 -209.60 -206.56 -203.51 -200.49 -197.46 -194.43 -191.41 -188.37 -185.36 -182.33 -179.30 -176.27 -173.22 -170.18 -167.13 -164.06 -161.00 -157.92 -154.85 -151.79 -148.72 -145.63 -142.53 -139.44 -136.34 -133.24 -130.12 -126.99 -123.86 -120.72 -117.59 -114.45 -111.29 -108.15 -105.00 -101.88 -98.76 -95.65 -92.55 -89.46 -86.40 -83.33 -80.26 -77.19 -74.13 -71.07 -68.01 -64.94 -61.85 -58.77 -55.67 -52.58 -49.46 -46.31 -43.16 -40.00 -36.81 -33.62 -30.39 -27.16 -23.90 -20.64 -17.38 -14.10 -10.83 -7.58 -4.39 -1.25 1.90 5.04 8.20 11.33 14.34 17.25 20.05 22.75 25.34 27.84 30.24 32.53 34.72 36.79 38.75 40.70 42.65 44.60 46.55 48.44 50.28 52.08 53.87 55.66 57.46 59.26 61.07 62.90 64.76 66.63 68.52 70.42 72.36 74.31 76.27 78.25 80.24 82.27 84.30 86.34 88.39 90.46 92.53 94.60 96.68 98.76 100.83 102.89 104.95 106.97 108.95 110.91 112.86 114.81 116.76 118.70 120.60 122.47 124.28 126.07 127.82 129.53 131.20 132.83 134.43 135.98 137.49 139.00 140.51 142.01 143.52 145.00 146.47 147.93 149.39 150.84 152.30 153.77 155.24 156.72 158.20 159.70 161.20
-234.28 -231.20 -228.11 -225.03 -221.96 -218.90 -215.83 -212.78 -209.73 -206.68 -203.64 -200.60 -197.56 -194.52 -191.49 -188.46 -185.42 -182.39 -179.35 -176.31 -173.26 -170.20 -167.14 -164.08 -161.02 -157.96 -154.90 -151.83 -148.77 -145.70 -142.63 -139.55 -136.47 -133.38 -130.29 -127.20 -124.10 -121.00 -117.89 -114.78 -111.67 -108.55 -105.44 -102.33 -99.21 -96.10 -92.99 -89.89 -86.81 -83.73 -80.66 -77.59 -74.53 -71.47 -68.41 -65.34 -62.28 -59.21 -56.13 -53.04 -49.95 -46.84 -43.73 -40.60 -37.46 -34.30 -31.14 -27.96 -24.78 -21.59 -18.40 -15.21 -12.04 -8.91 -5.79 -2.67 0.44 3.55 6.67 9.78 12.83 15.78 18.63 21.39 24.06 26.65 29.14 31.56 33.88 36.11 38.24 40.28 42.25 44.21 46.18 48.15 50.12 52.08 54.02 55.93 57.81 59.68 61.55 63.42 65.30 67.19 69.09 71.01 72.94 74.88 76.84 78.82 80.81 82.81 84.82 86.85 88.88 90.92 92.97 95.02 97.07 99.12 101.17 103.20 105.21 107.19 109.17 111.13 113.10 115.07 117.04 119.01 120.95 122.86 124.73 126.56 128.36 130.13 131.87 133.58 135.25 136.89 138.49 140.05 141.60 143.13 144.67 146.22 147.76 149.29 150.82 152.34 153.85 155.36 156.88 158.40 159.91 161.43 162.96 164.49
-231.26 -228.19 -225.12 -222.06 -218.99 -215.93 -212.87 -209.82 -206.77 -203.72 -200.68 -197.63 -194.59 -191.55 -188.51 -185.47 -182.42 -179.38 -176.33 -173.27 -170.22 -167.16 -164.11 -161.05 -158.00 -154.94 -151.88 -148.83 -145.77 -142.71 -139.65 -136.58 -133.52 -130.45 -127.38 -124.31 -121.23 -118.15 -115.08 -111.99 -108.91 -105.83 -102.74 -99.66 -96.58 -93.49 -90.41 -87.32 -84.24 -81.16 -78.09 -75.03 -71.97 -68.91 -65.86 -62.80 -59.74 -56.68 -53.62 -50.55 -47.47 -44.38 -41.29 -38.19 -35.09 -31.97 -28.86 -25.74 -22.62 -19.50 -16.40 -13.31 -10.23 -7.14 -4.06 -0.98 2.11 5.19 8.27 11.34 14.32 17.20 20.01 22.73 25.38 27.96 30.45 32.88 35.22 37.49 39.67 41.76 43.77 45.75 47.74 49.73 51.71 53.70 55.69 57.67 59.66 61.62 63.57 65.51 67.45 69.39 71.33 73.28 75.24 77.20 79.18 81.17 83.17 85.17 87.19 89.21 91.23 93.26 95.29 97.32 99.35 101.36 103.36 105.35 107.34 109.33 111.31 113.30 115.29 117.27 119.26 121.24 123.19 125.10 126.98 128.83 130.66 132.45 134.22 135.95 137.66 139.34 140.99 142.60 144.18 145.75 147.33 148.90 150.47 152.05 153.62 155.19 156.77 158.33 159.89 161.45 163.01 164.57 166.13 167.70
-228.14 -225.08 -222.03 -218.98 -215.92 -212.87 -209.82 -206.77 -203.72 -200.67 -197.63 -194.58 -191.54 -188.49 -185.45 -182.40 -179.35 -176.30 -173.25 -170.20 -167.15 -164.10 -161.05 -158.00 -154.95 -151.90 -148.85 -145.80 -142.75 -139.70 -136.65 -133.60 -130.55 -127.50 -124.45 -121.40 -118.35 -115.29 -112.24 -109.19 -106.13 -103.08 -100.03 -96.97 -93.92 -90.87 -87.81 -84.76 -81.71 -78.65 -75.60 -72.55 -69.49 -66.44 -63.40 -60.35 -57.31 -54.26 -51.21 -48.16 -45.11 -42.05 -38.99 -35.93 -32.87 -29.81 -26.75 -23.69 -20.64 -17.58 -14.53 -11.47 -8.42 -5.37 -2.31 0.74 3.79 6.85 9.90 12.90 15.82 18.66 21.42 24.12 26.75 29.31 31.81 34.24 36.60 38.89 41.11 43.25 45.31 47.32 49.32 51.33 53.33 55.34 57.34 59.35 61.35 63.36 65.36 67.36 69.37 71.36 73.35 75.35 77.34 79.33 81.33 83.34 85.35 87.36 89.37 91.39 93.41 95.43 97.44 99.45 101.45 103.46 105.46 107.47 109.47 111.48 113.48 115.49 117.49 119.50 121.50 123.49 125.44 127.36 129.26 131.13 132.97 134.79 136.58 138.35 140.10 141.81 143.50 145.16 146.79 148.39 150.00 151.61 153.21 154.82 156.43 158.03 159.64 161.25 162.85 164.46 166.07 167.67 169.27 170.88
-224.97 -221.93 -218.89 -215.84 -212.80 -209.76 -206.71 -203.67 -200.62 -197.58 -194.54 -191.50 -188.45 -185.41 -182.36 -179.32 -176.28 -173.23 -170.19 -167.15 -164.10 -161.06 -158.02 -154.97 -151.93 -148.89 -145.84 -142.80 -139.76 -136.72 -133.68 -130.65 -127.61 -124.58 -121.55 -118.52 -115.48 -112.45 -109.43 -106.40 -103.38 -100.35 -97.33 -94.31 -91.28 -88.26 -85.24 -82.21 -79.19 -76.17 -73.14 -70.12 -67.10 -64.07 -61.05 -58.03 -55.00 -51.98 -48.96 -45.94 -42.91 -39.89 -36.87 -33.84 -30.82 -27.80 -24.77 -21.75 -18.73 -15.70 -12.68 -9.66 -6.63 -3.61 -0.59 2.44 5.46 8.48 11.49 14.43 17.30 20.10 22.83 25.50 28.11 30.67 33.16 35.60 37.97 40.28 42.53 44.71 46.82 48.86 50.88 52.90 54.93 56.95 58.97 61.00 63.02 65.04 67.07 69.09 71.11 73.14 75.16 77.18 79.21 81.23 83.25 85.28 87.30 89.33 91.35 93.37 95.40 97.42 99.44 101.47 103.49 105.51 107.54 109.56 111.58 113.61 115.63 117.65 119.68 121.70 123.72 125.71 127.67 129.61 131.52 133.41 135.28 137.12 138.94 140.74 142.51 144.27 145.99 147.69 149.37 151.01 152.65 154.29 155.93 157.57 159.21 160.85 162.49 164.13 165.77 167.41 169.06 170.69 172.34 173.98
-221.79 -218.75 -215.72 -212.69 -209.65 -206.60 -203.56 -200.53 -197.50 -194.46 -191.42 -188.37 -185.35 -182.31 -179.27 -176.24 -173.19 -170.16 -167.12 -164.08 -161.05 -158.00 -154.96 -151.93 -148.90 -145.86 -142.81 -139.78 -136.76 -133.73 -130.71 -127.68 -124.66 -121.64 -118.64 -115.63 -112.61 -109.60 -106.60 -103.61 -100.61 -97.62 -94.61 -91.62 -88.64 -85.64 -82.65 -79.65 -76.66 -73.67 -70.68 -67.69 -64.69 -61.69 -58.70 -55.71 -52.72 -49.73 -46.73 -43.73 -40.75 -37.76 -34.76 -31.76 -28.77 -25.78 -22.79 -19.80 -16.81 -13.80 -10.81 -7.83 -4.84 -1.84 1.16 4.15 7.14 10.13 13.09 15.97 18.80 21.56 24.26 26.91 29.51 32.06 34.55 36.98 39.37 41.70 43.97 46.18 48.33 50.41 52.45 54.49 56.53 58.58 60.62 62.66 64.70 66.74 68.79 70.83 72.87 74.91 76.95 79.00 81.03 83.08 85.12 87.17 89.21 91.24 93.29 95.33 97.38 99.42 101.46 103.50 105.54 107.59 109.63 111.67 113.70 115.76 117.80 119.84 121.88 123.92 125.95 127.95 129.93 131.88 133.81 135.72 137.61 139.48 141.33 143.15 144.96 146.75 148.51 150.25 151.96 153.65 155.32 157.00 158.67 160.35 162.02 163.69 165.37 167.04 168.71 170.39 172.06 173.74 175.41 177.08
-218.61 -215.58 -212.55 -209.52 -206.49 -203.46 -200.42 -197.39 -194.36 -191.33 -188.30 -185.27 -182.23 -179.20 -176.17 -173.14 -170.11 -167.08 -164.04 -161.01 -157.98 -154.95 -151.92 -148.89 -145.85 -142.82 -139.80 -136.77 -133.75 -130.74 -127.73 -124.72 -121.72 -118.72 -115.73 -112.74 -109.75 -106.76 -103.78 -100.81 -97.84 -94.87 -91.91 -88.94 -85.98 -83.02 -80.06 -77.09 -74.13 -71.17 -68.20 -65.24 -62.28 -59.32 -56.35 -53.39 -50.43 -47.47 -44.50 -41.54 -38.58 -35.62 -32.65 -29.69 -26.73 -23.77 -20.80 -17.84 -14.88 -11.92 -8.95 -5.99 -3.03 -0.07 2.90 5.86 8.82 11.78 14.68 17.53 20.31 23.04 25.73 28.36 30.94 33.47 35.96 38.40 40.79 43.14 45.43 47.66 49.84 51.96 54.03 56.09 58.15 60.21 62.27 64.33 66.39 68.45 70.51 72.57 74.63 76.69 78.75 80.81 82.87 84.93 86.99 89.05 91.11 93.17 95.23 97.29 99.35 101.41 103.48 105.54 107.59 109.65 111.72 113.78 115.84 117.90 119.96 122.02 124.08 126.13 128.17 130.19 132.18 134.15 136.10 138.03 139.94 141.83 143.71 145.56 147.40 149.22 151.02 152.79 154.55 156.28 157.99 159.69 161.40 163.11 164.82 166.52 168.23 169.94 171.64 173.35 175.06 176.77 178.47 180.19
