datetime,line_id,inflow_m3d,per
2018-02-01,1136258,1289810.0,1
2018-03-01,1136258,717803.0,2
2018-04-01,1136258,408852.0,3
2018-05-01,1136258,88238.7,4
2018-06-01,1136258,20706.8,5
2018-07-01,1136258,1826.36,6
2018-08-01,1136258,3077.28,7
2018-09-01,1136258,115039.0,8
2018-10-01,1136258,484542.0,9
2018-11-01,1136258,637345.0,10
2018-12-01,1136258,1465360.0,11
2018-01-01,1138102,42550.8,0
2018-02-01,1138102,654437.0,1
2018-03-01,1138102,370654.0,2
2018-04-01,1138102,145250.0,3
2018-05-01,1138102,49911.4,4
2018-06-01,1138102,12864.2,5
2018-07-01,1138102,1695.26,6
2018-08-01,1138102,3773.26,7
2018-09-01,1138102,13263.2,8
2018-10-01,1138102,116905.0,9
2018-11-01,1138102,339670.0,10
2018-12-01,1138102,715168.0,11
2018-01-01,1841191,203652.0,0
2018-02-01,1841191,869589.0,1
2018-03-01,1841191,715631.0,2
2018-04-01,1841191,590855.0,3
2018-05-01,1841191,363600.0,4
2018-06-01,1841191,313411.0,5
2018-07-01,1841191,84951.7,6
2018-08-01,1841191,62480.4,7
2018-09-01,1841191,126099.0,8
2018-10-01,1841191,75931.2,9
2018-11-01,1841191,368398.0,10
2018-12-01,1841191,658239.0,11
2018-01-01,1841367,130441.0,0
2018-02-01,1841367,711087.0,1
2018-03-01,1841367,295674.0,2
2018-04-01,1841367,397522.0,3
2018-05-01,1841367,235262.0,4
2018-06-01,1841367,642383.0,5
2018-07-01,1841367,115066.0,6
2018-08-01,1841367,68912.0,7
2018-09-01,1841367,165865.0,8
2018-10-01,1841367,80859.8,9
2018-11-01,1841367,237705.0,10
2018-12-01,1841367,345518.0,11
2018-01-01,1841397,35678700.0,0
2018-02-01,1841397,170104000.0,1
2018-03-01,1841397,123315000.0,2
2018-04-01,1841397,82091200.0,3
2018-05-01,1841397,87413700.0,4
2018-06-01,1841397,81710500.0,5
2018-07-01,1841397,70351500.0,6
2018-08-01,1841397,66507000.0,7
2018-09-01,1841397,121844000.0,8
2018-10-01,1841397,113222000.0,9
2018-11-01,1841397,131335000.0,10
2018-12-01,1841397,115964000.0,11
2018-01-01,3665570,1220820.0,0
2018-02-01,3665570,8667950.0,1
2018-03-01,3665570,8292180.0,2
2018-04-01,3665570,6620820.0,3
2018-05-01,3665570,4526310.0,4
2018-06-01,3665570,2084960.0,5
2018-07-01,3665570,1171550.0,6
2018-08-01,3665570,3493000.0,7
2018-09-01,3665570,3180330.0,8
2018-10-01,3665570,1150710.0,9
2018-11-01,3665570,2917050.0,10
2018-12-01,3665570,6818970.0,11
2018-01-01,5092634,35539000.0,0
2018-02-01,5092634,29929200.0,1
2018-03-01,5092634,29372900.0,2
2018-04-01,5092634,26032500.0,3
2018-05-01,5092634,85122200.0,4
2018-06-01,5092634,105331000.0,5
2018-07-01,5092634,44502500.0,6
2018-08-01,5092634,55047500.0,7
2018-09-01,5092634,107677000.0,8
2018-10-01,5092634,112091000.0,9
2018-11-01,5092634,75745500.0,10
2018-12-01,5092634,62941800.0,11
2018-01-01,5247764,95002.7,0
2018-02-01,5247764,690101.0,1
2018-03-01,5247764,333593.0,2
2018-04-01,5247764,333742.0,3
2018-05-01,5247764,276157.0,4
2018-06-01,5247764,318136.0,5
2018-07-01,5247764,88478.2,6
2018-08-01,5247764,68546.7,7
2018-09-01,5247764,140492.0,8
